expert_tile,model_tile,same_action,expert_shanten,model_shanten,expert_ukeire,model_ukeire,shanten_difference,ukeire_difference,model_prob,category,offset
north,north,True,5,5,78,78,0,0,0.5996454954147339,exact_match,113.0
9s,9s,True,4,4,76,76,0,0,0.4716423451900482,exact_match,114.0
east,1m,False,4,4,64,60,0,4,0.542206346988678,ukeire_loss,115.0
south,south,True,3,3,56,56,0,0,0.7732807993888855,exact_match,116.0
white,white,True,3,3,55,55,0,0,0.34802183508872986,exact_match,117.0
green,green,True,3,3,64,64,0,0,0.6014950275421143,exact_match,118.0
red,2s,False,3,3,59,55,0,4,0.4854116141796112,ukeire_loss,119.0
7m,3p,False,2,2,18,18,0,0,0.7724007964134216,equivalent,120.0
south,south,True,2,2,42,42,0,0,0.577810525894165,exact_match,121.0
west,west,True,1,1,38,38,0,0,0.8487406373023987,exact_match,122.0
1p,1p,True,3,3,43,43,0,0,0.879494845867157,exact_match,123.0
green,green,True,2,2,14,14,0,0,0.5696727633476257,exact_match,124.0
red,red,True,1,1,8,8,0,0,0.6745117902755737,exact_match,125.0
red,1s,False,4,4,84,78,0,6,0.7130465507507324,ukeire_loss,126.0
green,1s,False,3,3,69,64,0,5,0.46460816264152527,ukeire_loss,127.0
1s,1s,True,2,2,22,22,0,0,0.5975450277328491,exact_match,128.0
white,white,True,2,2,37,37,0,0,0.8186880946159363,exact_match,129.0
4s,4s,True,2,2,36,36,0,0,0.908075213432312,exact_match,130.0
3p,1p,False,1,1,12,12,0,0,0.3012831509113312,equivalent,131.0
1p,1p,True,1,1,16,16,0,0,0.7359840869903564,exact_match,132.0
1p,1m,False,2,2,15,15,0,0,0.5396156311035156,equivalent,133.0
8s,8s,True,1,1,9,9,0,0,0.8489176630973816,exact_match,134.0
red,red,True,1,1,9,9,0,0,0.9433937072753906,exact_match,135.0
north,north,True,1,1,9,9,0,0,0.9498634338378906,exact_match,136.0
7m,7m,True,2,2,24,24,0,0,0.6104700565338135,exact_match,137.0
4m,4m,True,2,2,24,24,0,0,0.9506195187568665,exact_match,138.0
4m,4m,True,2,2,24,24,0,0,0.9581749439239502,exact_match,139.0
6p,6p,True,1,1,14,14,0,0,0.5590794682502747,exact_match,140.0
5s,5s,True,0,0,8,8,0,0,0.7685772776603699,exact_match,141.0
8p,8p,True,0,0,8,8,0,0,0.9919559955596924,exact_match,142.0
east,east,True,2,2,26,26,0,0,0.9877179861068726,exact_match,143.0
4p,3p,False,1,2,16,25,-1,-9,0.7860692739486694,shanten_loss,144.0
7s,3s,False,1,1,19,15,0,4,0.3263205587863922,ukeire_loss,145.0
6m,6m,True,1,1,17,17,0,0,0.8628158569335938,exact_match,146.0
6p,6p,True,0,0,3,3,0,0,0.9748013019561768,exact_match,147.0
6p,6p,True,0,0,8,8,0,0,0.5395354628562927,exact_match,148.0
8m,8m,True,0,0,3,3,0,0,0.9475528001785278,exact_match,149.0
1s,1s,True,3,3,27,27,0,0,0.9262458682060242,exact_match,150.0
east,east,True,3,3,53,53,0,0,0.9539532661437988,exact_match,151.0
red,red,True,3,3,51,51,0,0,0.9529973864555359,exact_match,152.0
4s,6s,False,2,3,20,50,-1,-30,0.37796488404273987,shanten_loss,153.0
south,south,True,2,2,19,19,0,0,0.962660014629364,exact_match,154.0
white,white,True,2,2,19,19,0,0,0.9357041120529175,exact_match,155.0
west,west,True,2,2,18,18,0,0,0.9191438555717468,exact_match,156.0
7s,5m,False,1,1,11,7,0,4,0.25689512491226196,ukeire_loss,157.0
9s,9s,True,1,1,11,11,0,0,0.9064370393753052,exact_match,158.0
2s,2s,True,1,1,11,11,0,0,0.9316348433494568,exact_match,159.0
south,south,True,1,1,10,10,0,0,0.9014187455177307,exact_match,160.0
2p,9m,False,1,2,27,34,-1,-7,0.24965916574001312,shanten_loss,161.0
3m,5p,False,1,1,17,7,0,10,0.30637305974960327,ukeire_loss,162.0
8s,5m,False,1,1,16,10,0,6,0.6233697533607483,ukeire_loss,163.0
5m,5m,True,1,1,18,18,0,0,0.5926426649093628,exact_match,164.0
3m,3m,True,1,1,11,11,0,0,0.6283735036849976,exact_match,165.0
south,north,False,4,4,74,74,0,0,0.755795955657959,equivalent,166.0
east,east,True,2,2,27,27,0,0,0.9868331551551819,exact_match,167.0
3m,4p,False,2,2,27,29,0,-2,0.4879896342754364,near_equivalent,168.0
3s,4p,False,1,1,18,18,0,0,0.5768007636070251,equivalent,169.0
green,green,True,1,1,18,18,0,0,0.9583271145820618,exact_match,170.0
2s,2s,True,1,1,17,17,0,0,0.515586256980896,exact_match,171.0
5s,5s,True,1,1,16,16,0,0,0.5726621747016907,exact_match,172.0
4p,north,False,1,1,16,16,0,0,0.7311108112335205,equivalent,173.0
north,east,False,1,1,15,15,0,0,0.7088289260864258,equivalent,174.0
6p,6p,True,1,1,15,15,0,0,0.5499178767204285,exact_match,175.0
white,white,True,1,1,14,14,0,0,0.6546781659126282,exact_match,176.0
south,south,True,1,1,12,12,0,0,0.5347988605499268,exact_match,177.0
south,south,True,1,1,13,13,0,0,0.9426339864730835,exact_match,178.0
1m,1m,True,1,1,13,13,0,0,0.9691568613052368,exact_match,179.0
8m,8m,True,1,1,20,20,0,0,0.7655891180038452,exact_match,180.0
6s,6s,True,2,2,18,18,0,0,0.19662858545780182,exact_match,181.0
9s,9s,True,2,2,14,14,0,0,0.5037478804588318,exact_match,182.0
7m,2m,False,1,1,7,10,0,-3,0.3381616771221161,better_ukeire,183.0
west,7m,False,2,2,19,18,0,1,0.35993531346321106,near_equivalent,184.0
9s,9s,True,1,1,6,6,0,0,0.5403192639350891,exact_match,185.0
9s,9s,True,2,2,19,19,0,0,0.9456987380981445,exact_match,186.0
2m,7m,False,1,1,10,6,0,4,0.35016700625419617,ukeire_loss,187.0
5m,7m,False,1,1,16,9,0,7,0.25674885511398315,ukeire_loss,188.0
west,west,True,1,1,16,16,0,0,0.9055321216583252,exact_match,189.0
west,west,True,4,4,66,66,0,0,0.7381691932678223,exact_match,190.0
north,north,True,3,3,51,51,0,0,0.8473991751670837,exact_match,191.0
1m,1s,False,4,4,73,65,0,8,0.48884445428848267,ukeire_loss,192.0
9m,south,False,2,2,38,47,0,-9,0.47409218549728394,better_ukeire,193.0
1s,1s,True,3,3,54,54,0,0,0.41163498163223267,exact_match,194.0
south,south,True,2,2,48,48,0,0,0.5206627249717712,exact_match,195.0
red,red,True,2,2,15,15,0,0,0.8826882839202881,exact_match,196.0
1p,1p,True,1,1,7,7,0,0,0.8865129947662354,exact_match,197.0
8m,1p,False,2,2,15,15,0,0,0.583065390586853,equivalent,198.0
5p,1m,False,1,1,8,7,0,1,0.547883927822113,near_equivalent,199.0
8p,1p,False,2,2,17,17,0,0,0.3911452889442444,equivalent,200.0
7p,7p,True,0,0,3,3,0,0,0.8979640603065491,exact_match,201.0
1p,south,False,2,2,17,17,0,0,0.6599751114845276,equivalent,202.0
5m,5m,True,0,0,3,3,0,0,0.9182032942771912,exact_match,203.0
9s,south,False,1,1,7,7,0,0,0.9015416502952576,equivalent,204.0
1m,7m,False,0,0,3,3,0,0,0.6378302574157715,equivalent,205.0
2p,2p,True,1,1,9,9,0,0,0.5653827786445618,exact_match,206.0
9m,9m,True,0,0,3,3,0,0,0.9879855513572693,exact_match,207.0
south,south,True,0,0,5,5,0,0,0.9886069893836975,exact_match,208.0
8p,8p,True,0,0,3,3,0,0,0.9711403250694275,exact_match,209.0
white,white,True,0,0,5,5,0,0,0.976898729801178,exact_match,210.0
north,north,True,0,0,3,3,0,0,0.9911375045776367,exact_match,211.0
north,north,True,3,3,54,54,0,0,0.9387494921684265,exact_match,212.0
white,white,True,3,3,56,56,0,0,0.5269963145256042,exact_match,213.0
red,red,True,2,2,43,43,0,0,0.6188874244689941,exact_match,214.0
1m,1m,True,2,2,43,43,0,0,0.8793118596076965,exact_match,215.0
1s,3m,False,2,2,48,41,0,7,0.3448345363140106,ukeire_loss,216.0
8s,8s,True,2,2,53,53,0,0,0.3706551492214203,exact_match,217.0
3m,8m,False,1,1,33,29,0,4,0.522624135017395,ukeire_loss,218.0
8m,8m,True,1,1,30,30,0,0,0.83584064245224,exact_match,219.0
1s,1s,True,0,0,2,2,0,0,0.5082366466522217,exact_match,220.0
1s,1s,True,0,0,2,2,0,0,0.8614293932914734,exact_match,221.0
8m,8m,True,0,0,2,2,0,0,0.9794935584068298,exact_match,222.0
green,green,True,1,1,9,9,0,0,0.8684837222099304,exact_match,223.0
7m,7m,True,1,1,9,9,0,0,0.9337737560272217,exact_match,224.0
1p,1p,True,1,1,8,8,0,0,0.9636896252632141,exact_match,225.0
2s,9s,False,1,1,12,12,0,0,0.6564673781394958,equivalent,226.0
9s,7m,False,1,1,12,12,0,0,0.8833719491958618,equivalent,227.0
6p,1s,False,2,1,12,12,1,0,0.8203856348991394,better_shanten,228.0
7s,7m,False,3,2,57,18,1,39,0.4045545160770416,better_shanten,229.0
1s,1s,True,3,3,69,69,0,0,0.4930736720561981,exact_match,230.0
north,north,True,3,3,67,67,0,0,0.8484200239181519,exact_match,231.0
4s,8p,False,2,2,13,13,0,0,0.3795323073863983,equivalent,232.0
4s,8p,False,3,2,46,15,1,31,0.40214988589286804,better_shanten,233.0
red,red,True,3,3,43,43,0,0,0.8295992612838745,exact_match,234.0
white,white,True,3,3,41,41,0,0,0.7242923974990845,exact_match,235.0
8p,8p,True,2,2,9,9,0,0,0.8038743138313293,exact_match,236.0
7p,7p,True,2,2,9,9,0,0,0.8342722058296204,exact_match,237.0
7p,7p,True,1,1,6,6,0,0,0.9510431885719299,exact_match,238.0
5s,5s,True,1,1,6,6,0,0,0.6722414493560791,exact_match,239.0
south,north,False,4,4,49,49,0,0,0.6255340576171875,equivalent,240.0
north,2m,False,2,2,34,35,0,-1,0.5856452584266663,near_equivalent,241.0
north,north,True,3,3,23,23,0,0,0.927129328250885,exact_match,242.0
9p,9p,True,2,2,32,32,0,0,0.6993650197982788,exact_match,243.0
9s,9s,True,2,2,16,16,0,0,0.6116842031478882,exact_match,244.0
1p,1p,True,2,2,30,30,0,0,0.828153669834137,exact_match,245.0
9m,9m,True,2,2,24,24,0,0,0.7088838815689087,exact_match,246.0
7p,7p,True,2,2,30,30,0,0,0.6309945583343506,exact_match,247.0
1s,3m,False,2,2,21,25,0,-4,0.6255719065666199,better_ukeire,248.0
8s,2m,False,1,1,7,14,0,-7,0.8530012369155884,better_ukeire,249.0
2s,9m,False,2,2,21,21,0,0,0.7513542771339417,equivalent,250.0
2m,9s,False,0,0,1,2,0,-1,0.5250274538993835,near_equivalent,251.0
9m,9m,True,2,2,23,23,0,0,0.8696839809417725,exact_match,252.0
8p,8p,True,0,0,1,1,0,0,0.7286883592605591,exact_match,253.0
6m,6m,True,1,1,14,14,0,0,0.29101821780204773,exact_match,254.0
9s,green,False,0,0,2,1,0,1,0.655316174030304,near_equivalent,255.0
6m,6m,True,0,0,6,6,0,0,0.6019729375839233,exact_match,256.0
2p,2p,True,0,0,2,2,0,0,0.8198423385620117,exact_match,257.0
north,north,True,2,2,16,16,0,0,0.4387105107307434,exact_match,258.0
1p,west,False,4,4,62,62,0,0,0.3263933062553406,equivalent,259.0
west,1s,False,2,2,16,16,0,0,0.5213561654090881,equivalent,260.0
9m,west,False,3,3,20,20,0,0,0.4388080835342407,equivalent,261.0
1s,1s,True,2,2,16,16,0,0,0.7118563055992126,exact_match,262.0
9p,9p,True,3,3,23,23,0,0,0.5315727591514587,exact_match,263.0
9m,7s,False,1,1,12,12,0,0,0.5983773469924927,equivalent,264.0
9s,west,False,3,3,23,31,0,-8,0.4700310230255127,better_ukeire,265.0
7s,7s,True,0,0,4,4,0,0,0.9238920211791992,exact_match,266.0
1p,1p,True,3,3,22,22,0,0,0.8745518922805786,exact_match,267.0
3p,3p,True,0,0,4,4,0,0,0.6885809302330017,exact_match,268.0
8s,8s,True,2,2,19,19,0,0,0.42123204469680786,exact_match,269.0
south,south,True,0,0,4,4,0,0,0.9952130317687988,exact_match,270.0
1s,white,False,2,2,17,17,0,0,0.6360762715339661,equivalent,271.0
9p,9p,True,0,0,4,4,0,0,0.9466789364814758,exact_match,272.0
west,white,False,1,1,9,9,0,0,0.4956338107585907,equivalent,273.0
8p,8p,True,0,0,4,4,0,0,0.8052064180374146,exact_match,274.0
8s,8s,True,1,1,8,8,0,0,0.6670505404472351,exact_match,275.0
3s,3s,True,1,1,12,12,0,0,0.5326085686683655,exact_match,276.0
9s,9s,True,1,1,16,16,0,0,0.7747205495834351,exact_match,277.0
1p,1p,True,1,1,15,15,0,0,0.9252936840057373,exact_match,278.0
east,east,True,1,1,14,14,0,0,0.9883741140365601,exact_match,279.0
9s,9s,True,2,2,17,17,0,0,0.6828508973121643,exact_match,280.0
7m,9m,False,3,2,28,15,1,13,0.728791356086731,better_shanten,281.0
3s,2s,False,4,3,50,27,1,23,0.28864800930023193,better_shanten,282.0
5s,8m,False,3,4,12,47,-1,-35,0.5193823575973511,shanten_loss,283.0
2m,2m,True,3,3,11,11,0,0,0.47378218173980713,exact_match,284.0
2m,2m,True,4,4,45,45,0,0,0.6697564125061035,exact_match,285.0
1m,1m,True,3,3,34,34,0,0,0.7559869885444641,exact_match,286.0
2s,2s,True,4,4,46,46,0,0,0.507992684841156,exact_match,287.0
red,red,True,4,4,46,46,0,0,0.6443573236465454,exact_match,288.0
8m,8m,True,3,3,19,19,0,0,0.5278619527816772,exact_match,289.0
8p,9m,False,3,2,33,15,1,18,0.42836055159568787,better_shanten,290.0
east,east,True,3,3,38,38,0,0,0.5543670654296875,exact_match,291.0
west,west,True,2,2,31,31,0,0,0.8382805585861206,exact_match,292.0
1s,south,False,1,1,13,13,0,0,0.8022210597991943,equivalent,293.0
7p,north,False,1,1,14,13,0,1,0.8190521001815796,near_equivalent,294.0
2s,2s,True,1,1,13,13,0,0,0.48483240604400635,exact_match,295.0
north,red,False,1,1,14,12,0,2,0.595954179763794,near_equivalent,296.0
2m,2m,True,1,1,14,14,0,0,0.8769263029098511,exact_match,297.0
red,9p,False,1,1,17,13,0,4,0.5005045533180237,ukeire_loss,298.0
5s,5s,True,1,1,16,16,0,0,0.5821097493171692,exact_match,299.0
1p,1p,True,3,3,21,21,0,0,0.6952834725379944,exact_match,300.0
9s,west,False,4,4,86,89,0,-3,0.5424626469612122,better_ukeire,301.0
1s,1s,True,3,3,21,21,0,0,0.36690643429756165,exact_match,302.0
west,west,True,3,3,74,74,0,0,0.5893459916114807,exact_match,303.0
west,8p,False,3,3,21,20,0,1,0.3180420696735382,near_equivalent,304.0
4m,green,False,2,2,22,25,0,-3,0.894097626209259,better_ukeire,305.0
8p,8p,True,3,3,36,36,0,0,0.45554643869400024,exact_match,306.0
green,green,True,1,1,17,17,0,0,0.7623910903930664,exact_match,307.0
4p,4p,True,2,2,15,15,0,0,0.5663092136383057,exact_match,308.0
5s,white,False,1,1,17,17,0,0,0.8373669385910034,equivalent,309.0
4p,4p,True,2,2,14,14,0,0,0.8025628328323364,exact_match,310.0
1m,1m,True,1,1,17,17,0,0,0.7699666619300842,exact_match,311.0
red,5s,False,2,2,13,13,0,0,0.7707684636116028,equivalent,312.0
4s,4s,True,1,1,17,17,0,0,0.7830464243888855,exact_match,313.0
5s,6p,False,2,2,14,13,0,1,0.47735798358917236,near_equivalent,314.0
white,white,True,0,0,8,8,0,0,0.7852062582969666,exact_match,315.0
6p,6p,True,2,2,26,26,0,0,0.685339093208313,exact_match,316.0
1m,1m,True,1,1,10,10,0,0,0.5027856230735779,exact_match,317.0
7m,7m,True,0,0,8,8,0,0,0.9630905389785767,exact_match,318.0
1m,7p,False,1,1,10,10,0,0,0.5069335103034973,equivalent,319.0
red,red,True,1,1,17,17,0,0,0.5614243149757385,exact_match,320.0
5p,white,False,1,1,17,17,0,0,0.9438280463218689,equivalent,321.0
5m,white,False,1,1,17,16,0,1,0.8149082064628601,near_equivalent,322.0
9m,east,False,3,3,66,74,0,-8,0.3862565755844116,better_ukeire,323.0
1m,1m,True,2,2,44,44,0,0,0.5597288608551025,exact_match,324.0
east,east,True,1,1,8,8,0,0,0.9457950592041016,exact_match,325.0
6m,6p,False,1,1,8,8,0,0,0.5444630980491638,equivalent,326.0
6p,6p,True,0,0,4,4,0,0,0.9316120743751526,exact_match,327.0
6m,3m,False,0,0,4,4,0,0,0.6606948971748352,equivalent,328.0
5p,5p,True,0,0,4,4,0,0,0.9405388832092285,exact_match,329.0
7s,3s,False,0,0,8,2,0,6,0.44948238134384155,ukeire_loss,330.0
1p,1p,True,0,0,8,8,0,0,0.8579762578010559,exact_match,331.0
6m,3s,False,0,0,8,4,0,4,0.3904634118080139,ukeire_loss,332.0
green,green,True,0,0,6,6,0,0,0.9275314211845398,exact_match,333.0
9s,9s,True,3,3,55,55,0,0,0.7486311197280884,exact_match,334.0
1s,1s,True,3,3,53,53,0,0,0.872146725654602,exact_match,335.0
green,green,True,3,3,52,52,0,0,0.7254838347434998,exact_match,336.0
red,red,True,2,2,41,41,0,0,0.8848380446434021,exact_match,337.0
9p,9p,True,1,1,11,11,0,0,0.49138343334198,exact_match,338.0
9p,9p,True,1,1,11,11,0,0,0.6500285863876343,exact_match,339.0
9p,south,False,2,2,15,15,0,0,0.5422554612159729,equivalent,340.0
9p,9p,True,2,2,14,14,0,0,0.7686910033226013,exact_match,341.0
7p,south,False,2,2,15,22,0,-7,0.40863746404647827,better_ukeire,342.0
red,red,True,2,2,15,15,0,0,0.7463645339012146,exact_match,343.0
8m,1m,False,2,2,22,34,0,-12,0.5315412282943726,better_ukeire,344.0
1m,1m,True,1,1,12,12,0,0,0.6266241073608398,exact_match,345.0
3m,3m,True,1,1,12,12,0,0,0.8101617097854614,exact_match,346.0
south,6m,False,1,1,8,8,0,0,0.7874277234077454,equivalent,347.0
south,south,True,1,1,7,7,0,0,0.9436677694320679,exact_match,348.0
3s,2m,False,1,2,9,13,-1,-4,0.3038102984428406,shanten_loss,349.0
2s,6p,False,1,1,13,9,0,4,0.5155277252197266,ukeire_loss,350.0
3p,3p,True,1,1,13,13,0,0,0.6754612922668457,exact_match,351.0
6m,9m,False,3,3,56,56,0,0,0.5052391290664673,equivalent,352.0
red,red,True,2,2,30,30,0,0,0.5420067310333252,exact_match,353.0
5m,5m,True,2,2,29,29,0,0,0.4828782379627228,exact_match,354.0
1p,1p,True,1,1,8,8,0,0,0.7751420140266418,exact_match,355.0
1p,1p,True,1,1,8,8,0,0,0.8480018377304077,exact_match,356.0
8m,6p,False,1,1,6,8,0,-2,0.4745810925960541,near_equivalent,357.0
6p,white,False,1,1,6,6,0,0,0.8384602069854736,equivalent,358.0
west,west,True,4,4,76,76,0,0,0.428384929895401,exact_match,359.0
9m,red,False,3,3,56,64,0,-8,0.49487248063087463,better_ukeire,360.0
north,north,True,3,3,52,52,0,0,0.57950758934021,exact_match,361.0
1m,red,False,3,3,59,70,0,-11,0.7039579749107361,better_ukeire,362.0
white,1s,False,3,3,69,65,0,4,0.5993207693099976,ukeire_loss,363.0
6p,red,False,2,2,13,13,0,0,0.8143442273139954,equivalent,364.0
1s,1s,True,2,2,19,19,0,0,0.9192038178443909,exact_match,365.0
8s,red,False,3,2,59,21,1,38,0.719533383846283,better_shanten,366.0
